status,updated,numRaters,averageRate,author,binding,pages,publisher,title,url,author_info,summary,price,isbn13,isbn10
read,2015-10-22T22:05:00Z,307,8.6,Ken Follett,Hardcover,985,Dutton Adult,Fall of Giants,https://book.douban.com/subject/4705346/,,"Follett takes you to a time long past with brio and razor-sharp storytelling. An epic tale in which you will lose yourself."" 
 -The Denver Post on World Without End    

 Ken Follett's  World Without End  was a global phenomenon, a work of grand historical sweep, beloved by millions of readers and acclaimed by critics as ""well-researched, beautifully detailed [with] a terrifically compelling plot"" ( The Washington Post ) and ""wonderful history wrapped around a gripping story"" ( St. Louis Post- Dispatch ) 

  Fall of Giants  is his magnificent new historical epic. The first novel in The Century Trilogy, it follows the fates of five interrelated families-American, German, Russian, English, and Welsh-as they move through the world-shaking dramas of the First World War, the Russian Revolution, and the struggle for women's suffrage. 

 Thirteen-year-old Billy Williams enters a man's world in the Welsh mining pits...Gus Dewar, an American law student rejected in love, finds a surprising new career in Woodrow Wilson's White House...two orphaned Russian brothers, Grigori and Lev Peshkov, embark on radically different paths half a world apart when their plan to emigrate to America falls afoul of war, conscription, and revolution...Billy's sister, Ethel, a housekeeper for the aristocratic Fitzherberts, takes a fateful step above her station, while Lady Maud Fitzherbert herself crosses deep into forbidden territory when she falls in love with Walter von Ulrich, a spy at the German embassy in London... 

 These characters and many others find their lives inextricably entangled as, in a saga of unfolding drama and intriguing complexity,  Fall of Giants  moves seamlessly from Washington to St. Petersburg, from the dirt and danger of a coal mine to the glittering chandeliers of a palace, from the corridors of power to the bedrooms of the mighty. As always with Ken Follett, the historical background is brilliantly researched and rendered, the action fast-moving, the characters rich in nuance and emotion. It is destined to be a new classic.  

 In future volumes of The Century Trilogy, subsequent generations of the same families will travel through the great events of the rest of the twentieth century, changing themselves-and the century itself. With passion and the hand of a master, Follett brings us into a world we thought we knew, but now will never seem the same again.",USD 36.00,9780525951650,0525951652
read,2015-10-07T23:54:06Z,19,8.2,Haruki Murakami,Hardcover,256,Knopf,Wind/Pinball,https://book.douban.com/subject/26583405/,,,USD 25.95,9780385352123,0385352123
read,2015-09-03T08:50:17Z,220,9.3,J.R.R. Tolkien,Paperback,NA,HarperCollins Publishers Ltd,The Hobbit,https://book.douban.com/subject/3226104/,,"The first ever illustrated paperback of the critically acclaimed and beloved children's classic, featuring 26 colour paintings and over 30 pencil drawings by Alan Lee.",£9.99,9780007270613,0007270615
reading,2015-06-18T22:11:42Z,108,8.9,Hilary Mantel,Hardcover,532,Henry Holt & Company,Wolf Hall,https://book.douban.com/subject/3891979/,"Hilary Mantel is one of our most important living writers. She is the author of eleven books, including A Place of Greater Safety, Giving Up the Ghost, and, most recently, Beyond Black, which was shortlisted for the 2006 Orange Prize.","Winner of the Man Booker Prize 2009 'Lock Cromwell in a deep dungeon in the morning,' says Thomas More, 'and when you come back that night he'll be sitting on a plush cushion eating larks' tongues, and all the gaolers will owe him money.' England, the 1520s. Henry VIII is on the throne, but has no heir. Cardinal Wolsey is his chief advisor, charged with securing the divorce the pope refuses to grant. Into this atmosphere of distrust and need comes Thomas Cromwell, first as Wolsey's clerk, and later his successor. Cromwell is a wholly original man: the son of a brutal blacksmith, a political genius, a briber, a charmer, a bully, a man with a delicate and deadly expertise in manipulating people and events. Ruthless in pursuit of his own interests, he is as ambitious in his wider politics as he is for himself. His reforming agenda is carried out in the grip of a self-interested parliament and a king who fluctuates between romantic passions and murderous rages. From one of our finest living writers, 'Wolf Hall' is that very rare thing: a truly great English novel, one that explores the intersection of individual psychology and wider politics. With a vast array of characters, and richly overflowing with incident, it peels back history to show us Tudor England as a half-made society, moulding itself with great passion, suffering and courage.",GBP 19.99,9780805080681,0805080686
read,2015-06-18T19:06:14Z,62,8.5,Haruki Murakami,Paperback,224,Vintage,Sputnik Sweetheart,https://book.douban.com/subject/1768668/,,"Haruki Murakami, the internationally bestselling author of  Norwegian Wood  and  The Wind-Up Bird Chronicle , plunges us into an urbane Japan of jazz bars, coffee shops, Jack Kerouac, and the Beatles to tell this story of a tangled triangle of uniquely unrequited loves.

A college student, identified only as “K,” falls in love with his classmate, Sumire. But devotion to an untidy writerly life precludes her from any personal commitments–until she meets Miu, an older and much more sophisticated businesswoman. When Sumire disappears from an island off the coast of Greece, “K” is solicited to join the search party and finds himself drawn back into her world and beset by ominous, haunting visions. A love story combined with a detective story,  Sputnik Sweetheart  ultimately lingers in the mind as a profound meditation on human longing.
 Haruki Murakami, the internationally bestselling author of  Norwegian Wood  and  The Wind-Up Bird Chronicle , plunges us into an urbane Japan of jazz bars, coffee shops, Jack Kerouac, and the Beatles to tell this story of a tangled triangle of uniquely unrequited loves.

A college student, identified only as ?K,? falls in love with his classmate, Sumire. But devotion to an untidy writerly life precludes her from any personal commitments?until she meets Miu, an older and much more sophisticated businesswoman. When Sumire disappears from an island off the coast of Greece, ?K? is solicited to join the search party and finds himself drawn back into her world and beset by ominous, haunting visions. A love story combined with a detective story,  Sputnik Sweetheart  ultimately lingers in the mind as a profound meditation on human longing.",USD 14.00,9780375726057,0375726055
read,2015-06-12T20:52:45Z,23,7.5,Sharon Bertsch McGrayne,Hardcover,336,Yale University Press,The Theory That Would Not Die,https://book.douban.com/subject/6399608/,,"Drawing on primary source material and interviews with statisticians and other scientists, ""The Theory That Would Not Die"" is the riveting account of how a seemingly simple theorem ignited one of the greatest scientific controversies of all time. Bayes' rule appears to be a straightforward, one-line theorem: by updating our initial beliefs with objective new information, we get a new and improved belief. To its adherents, it is an elegant statement about learning from experience. To its opponents, it is subjectivity run amok. In the first-ever account of Bayes' rule for general readers, Sharon Bertsch McGrayne explores this controversial theorem and the human obsessions surrounding it. She traces its discovery by an amateur mathematician in the 1740s through its development into roughly its modern form by French scientist Pierre Simon Laplace. She reveals why respected statisticians rendered it professionally taboo for 150 years - at the same time that practitioners relied on it to solve crises involving great uncertainty and scanty information, even breaking Germany's Enigma code during World War II, and explains how the advent of off-the-shelf computer technology in the 1980s proved to be a game-changer. Today, Bayes' rule is used everywhere from DNA decoding to Homeland Security. ""The Theory That Would Not Die"" is a vivid account of the generations-long dispute over one of the greatest breakthroughs in the history of applied mathematics and statistics.",USD 27.50,9780300169690,0300169698
read,2015-04-23T09:47:59Z,9,0.0,Margaret Atwood,Hardcover,288,Nan A. Talese,Stone Mattress,https://book.douban.com/subject/25983172/,"MARGARET ATWOOD, whose work has been published in over thirty-five countries, is the author of more than forty books of fiction, poetry, and critical essays. In addition to The Handmaid's Tale, her novels include Cat's Eye, shortlisted for the Booker Prize; Alias Grace, which won the Giller Prize in Canada and the Premio Mondello in Italy; The Blind Assassin, winner of the 2000 Booker Prize; and her most recent, Oryx and Crake, shortlisted for the 2003 Booker Prize. She lives in Toronto with writer Graeme Gibson.","A collection of highly imaginative short pieces that speak to our times with deadly accuracy. Vintage Atwood creativity, intelligence, and humor: think Alias Grace.
Margaret Atwood turns to short fiction for the first time since her 2006 collection, Moral Disorder, with nine tales of acute psychological insight and turbulent relationships bringing to mind her award-winning 1996 novel, Alias Grace. A recently widowed fantasy writer is guided through a stormy winter evening by the voice of her late husband in ""Alphinland,"" the first of three loosely linked stories about the romantic geometries of a group of writers and artists. In ""The Freeze-Dried Bridegroom,"" a man who bids on an auctioned storage space has a surprise. In ""Lusus Naturae,"" a woman born with a genetic abnormality is mistaken for a vampire. In ""Torching the Dusties,"" an elderly lady with Charles Bonnet syndrome comes to terms with the little people she keeps seeing, while a newly formed populist group gathers to burn down her retirement residence. And in ""Stone Mattress,"" a long-ago crime is avenged in the Arctic via a 1.9 billion-year-old stromatolite. In these nine tales, Margaret Atwood is at the top of her darkly humorous and seriously playful game.
Amazon.com Review
An Amazon Best Book of the Month, September 2014: “Stop trying to pimp me out to all these groupies,” a famous author and infamous cad utters in “Revenant,” one of three cleverly interconnected tales that begin Margaret Atwood’s superbly sardonic Stone Mattress. He is referring to an impending visit from an infatuated graduate student who is supposedly writing a thesis about his sonnets…which aren’t really sonnets (long story). Naveena—her name, he derisively but accurately points out, “sounds like cheese food slices. Or better—like a hair-removal cream”—is insufferable enough to be sure. The depiction makes yours truly nervous to be writing this review, but it’s all part of the fun, and these tales are fun, which is odd considering the sinister current that runs through many of them. But it’s as if the reader is privy to some sort of inside joke. This is especially evident in “The Dead Hand Loves You,” when Atwood playfully skewers the horror genre then gleefully indulges in it, and the ominously tongue-in-cheek “Torching the Dusties.” Fans of Margaret Atwood will certainly delight in this collection. But beware, the Stone Mattress will make groupies of old and new readers alike. –Erin Kodicek
Review
""Witty and frequently biting ... this book’s stories offer characters a chance to put their own understandings of gallantry, courage and revenge to the test, in ways both mundane and extraordinary.""
—The New York Times Book Review
""In Stone Mattress [Atwood is] having a high old time dancing over the dark swamps of Horror on the wings of satirical wit ... Look at these tales as eight icily refreshing arsenic Popsicles followed by a baked Alaska laced with anthrax, all served with impeccable style and aplomb. Enjoy!""
—Ursula K Le Guin, Financial Times

""These exuberantly told tales are a tour de force of wit, style, and discernment.""
—O Magazine

""Eclectic, funny, vibrant, terrifying, beautiful, and utterly delightful.""
—Boston Globe
""[These] stories have the caustic wit and giddy deviance ... along with the probing interiority and flinty insights of Atwood’s novels.""
—Minneapolis Star Tribune

""Stylish, acerbic and wickedly funny ... With wit, sympathy and precision, Atwood draws readers into a reflective frame of mind.""
—Miami Herald
""Stunning ... Atwood brings her biting wit to bear on the battle of the sexes.""
—Publishers Weekly, starred review

""Shrewdly brilliant, gleefully mischievous, and acerbically hilarious ... Atwood has the raptor's penetrating gaze, speed, and agility and never misses her mark.""
—Booklist, starred review

""Clever tales about writers and lovers ... Atwood is a playful, sharp-edged, and politically alert author.""
—Kirkus Reviews
See all Editorial Reviews",USD 25.95,9780385539128,0385539126
read,2015-04-09T23:25:25Z,805,9.2,Atul Gawande,Hardcover,304,Metropolitan Books,Being Mortal,https://book.douban.com/subject/26093161/,,"In Being Mortal, bestselling author Atul Gawande tackles the hardest challenge of his profession: how medicine can not only improve life but also the process of its ending
Medicine has triumphed in modern times, transforming birth, injury, and infectious disease from harrowing to manageable. But in the inevitable condition of aging and death, the goals of medicine seem too frequently to run counter to the interest of the human spirit. Nursing homes, preoccupied with safety, pin patients into railed beds and wheelchairs. Hospitals isolate the dying, checking for vital signs long after the goals of cure have become moot. Doctors, committed to extending life, continue to carry out devastating procedures that in the end extend suffering.
Gawande, a practicing surgeon, addresses his profession’s ultimate limitation, arguing that quality of life is the desired goal for patients and families. Gawande offers examples of freer, more socially fulfilling models for assisting the infirm and dependent elderly, and he explores the varieties of hospice care to demonstrate that a person's last weeks or months may be rich and dignified.
Full of eye-opening research and riveting storytelling, Being Mortal asserts that medicine can comfort and enhance our experience even to the end, providing not only a good life but also a good end.",USD 26.00,9780805095159,0805095152
read,2015-03-03T02:41:30Z,1597,8.5,Gillian Flynn,Hardcover,432,Crown Publishing Group,Gone Girl,https://book.douban.com/subject/7005249/,"GILLIAN FLYNN is the author of the New York Times bestseller Dark Places, which was a New Yorker Reviewers’ Favorite, Weekend TODAY Top Summer Read, Publishers Weekly Best Book of 2009, and Chicago Tribune Favorite Fiction choice; and the Dagger Award winner Sharp Objects, which was an Edgar nominee for Best First novel, a BookSense pick, and a Barnes & Noble Discover selection. Her work has been published in twenty-eight countries. She lives in Chicago with her husband and son.","Marriage can be a real killer.
One of the most critically acclaimed suspense writers of our time,  New York Times  bestseller Gillian Flynn takes that statement to its darkest place in this unputdownable masterpiece about a marriage gone terribly, terribly wrong. The  Chicago Tribune  proclaimed thather work “draws you in and keeps you reading with the force of a pure but nasty addiction.”  Gone Girl ’s toxic mix of sharp-edged wit and deliciously chilling prose creates a nerve-fraying thriller that confounds you at every turn.
On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's diary reveal the alpha-girl perfectionist could have put anyone dangerously on edge .  Under mounting pressure from the police and the media—as well as Amy’s fiercely doting parents—the town golden boy parades an endless series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he’s definitely bitter—but is he really a killer?
As the cops close in, every couple in town is soon wondering how well they know the one that they love. With his twin sister, Margo, at his side, Nick stands by his innocence. Trouble is, if Nick didn’t do it, where is that beautiful wife? And what was in that silvery gift box hidden in the back of her bedroom closet?
With herrazor-sharp writing and trademark psychological insight, Gillian Flynn delivers a fast-paced, devilishly dark, and ingeniously plotted thriller that confirms her status as one of the hottest writers around.",USD 25.00,9780307588364,030758836X
read,2015-02-23T20:05:01Z,474,8.5,Julian Barnes,Hardcover,160,Jonathan Cape,The Sense of an Ending,https://book.douban.com/subject/6753511/,,"Winner of the Man Booker Prize for Fiction in 2011 Tony Webster and his clique first met Adrian Finn at school. Sex-hungry and book-hungry, they would navigate the girl-less sixth form together, trading in affectations, in-jokes, rumour and wit. Maybe Adrian was a little more serious than the others, certainly more intelligent, but they all swore to stay friends for life. Now Tony is in middle age. He's had a career and a single marriage, a calm divorce. He's certainly never tried to hurt anybody. Memory, though, is imperfect. It can always throw up surprises, as a lawyer's letter is about to prove. The Sense of an Ending is the story of one man coming to terms with the mutable past. Laced with trademark precision, dexterity and insight, it is the work of one of the world's most distinguished writers.",GBP 12.99,9780224094153,0224094157
read,2015-02-18T12:46:45Z,56,7.9,Haruki Murakami,Paperback,NA,Vintage Canada,After Dark,https://book.douban.com/subject/3243274/,,,CAD 21.00,9780676979602,0676979602
read,2015-02-03T08:01:59Z,123,7.5,Robert Galbraith; J.K. Rowling,Hardcover,384,Mulholland Books,The Silkworm,https://book.douban.com/subject/25834100/,"Robert Galbraith is a pseudonym for J.K. Rowling, author of the Harry Potter series and The Casual Vacancy.","When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, she just thinks he has gone off by himself for a few days - as he has done before - and she wants Strike to find him and bring him home.
But as Strike investigates, it becomes clear that there is more to Quine's disappearance than his wife realises. The novelist has just completed a manuscript featuring poisonous pen-portraits of almost everyone he knows. If the novel were published it would ruin lives - so there are a lot of people who might want to silence him.
And when Quine is found brutally murdered in bizarre circumstances, it becomes a race against time to understand the motivation of a ruthless killer, a killer unlike any he has encountered before . . .
A compulsively readable crime novel with twists at every turn, The Silkworm is the second in the highly acclaimed series featuring Cormoran Strike and his determined young assistant Robin Ellacott.",USD 28.00,9780316206877,0316206873
read,2015-01-15T07:39:08Z,26,8.8,Robert K. Massie,Hardcover,656,Random House,Catherine the Great,https://book.douban.com/subject/6876201/,,"The Pulitzer Prize–winning author of  Peter the Great, Nicholas and Alexandra,  and  The Romanovs  returns with another masterpiece of narrative biography, the extraordinary story of an obscure young German princess who traveled to Russia at fourteen and rose to become one of the most remarkable, powerful, and captivating women in history.

Born into a minor noble family, Catherine transformed herself into Empress of Russia by sheer determination. Possessing a brilliant mind and an insatiable curiosity as a young woman, she devoured the works of Enlightenment philosophers and, when she reached the throne, attempted to use their principles to guide her rule of the vast and backward Russian empire. She knew or corresponded with the preeminent historical figures of her time: Voltaire, Diderot, Frederick the Great, Empress Maria Theresa of Austria, Marie Antoinette, and, surprisingly, the American naval hero, John Paul Jones.

Reaching the throne fired by Enlightenment philosophy and determined to become the embodiment of the “benevolent despot” idealized by Montesquieu, she found herself always contending with the deeply ingrained realities of Russian life, including serfdom. She persevered, and for thirty-four years the government, foreign policy, cultural development, and welfare of the Russian people were in her hands. She dealt with domestic rebellion, foreign wars, and the tidal wave of political change and violence churned up by the French Revolution that swept across Europe. Her reputation depended entirely on the perspective of the speaker. She was praised by Voltaire as the equal of the greatest of classical philosophers; she was condemned by her enemies, mostly foreign, as “the Messalina of the north.”

Catherine’s family, friends, ministers, generals, lovers, and enemies—all are here, vividly described. These included her ambitious, perpetually scheming mother; her weak, bullying husband, Peter (who left her lying untouched beside him for nine years after their marriage); her unhappy son and heir, Paul; her beloved grandchildren; and her “favorites”—the parade of young men from whom she sought companionship and the recapture of youth as well as sex. Here, too, is the giant figure of Gregory Potemkin, her most significant lover and possible husband, with whom she shared a passionate correspondence of love and separation, followed by seventeen years of unparalleled mutual achievement.

The story is superbly told. All the special qualities that Robert K. Massie brought to  Nicholas and Alexandra  and  Peter the Great  are present here: historical accuracy, depth of understanding, felicity of style, mastery of detail, ability to shatter myth, and a rare genius for finding and expressing the human drama in extraordinary lives.

History offers few stories richer in drama than that of Catherine the Great. In this book, this eternally fascinating woman is returned to life.",USD 35.00,9780679456728,0679456724
read,2014-12-29T06:20:59Z,192,7.3,Robert Galbraith,Hardcover,464,Sphere,The Cuckoo's Calling,https://book.douban.com/subject/10603302/,"Robert Galbraith is a pseudonym for J.K. Rowling, author of the Harry Potter series and The Casual Vacancy.","When a troubled model falls to her death from a snow-covered Mayfair balcony, it is assumed that she has committed suicide. However, her brother has his doubts, and calls in private investigator Cormoran Strike to look into the case.
Strike is a war veteran - wounded both physically and psychologically - and his life is in disarray. The case gives him a financial lifeline, but it comes at a personal cost: the more he delves into the young model's complex world, the darker things get - and the closer he gets to terrible danger . . .
A gripping, elegant mystery steeped in the atmosphere of London - from the hushed streets of Mayfair to the backstreet pubs of the East End to the bustle of Soho - The Cuckoo's Calling is a remarkable book. Introducing Cormoran Strike, this is a classic crime novel in the tradition of P. D. James and Ruth Rendell, and marks the beginning of a unique series of mysteries.",GBP 16.99,9781408703991,1408703998
read,2014-12-24T00:12:57Z,36,9.3,Max Kuhn; Kjell Johnson,Hardcover,600,Springer,Applied Predictive Modeling,https://book.douban.com/subject/21706140/,,"This text is intended for a broad audience as both an introduction to predictive models as well as a guide to applying them. Non-mathematical readers will appreciate the intuitive explanations of the techniques while an emphasis on problem-solving with real data across a wide variety of applications will aid practitioners who wish to extend their expertise. Readers should have knowledge of basic statistical ideas, such as correlation and linear regression analysis. While the text is biased against complex equations, a mathematical background is needed for advanced topics. Dr. Kuhn is a Director of Non-Clinical Statistics at Pfizer Global R&D in Groton Connecticut. He has been applying predictive models in the pharmaceutical and diagnostic industries for over 15 years and is the author of a number of R packages. Dr. Johnson has more than a decade of statistical consulting and predictive modeling experience in pharmaceutical research and development.  He is a co-founder of Arbor Analytics, a firm specializing in predictive modeling and is a former Director of Statistics at Pfizer Global R&D. His scholarly work centers on the application and development of statistical methodology and learning algorithms.",USD 89.95,9781461468486,1461468485
read,2014-12-13T07:39:16Z,57,8.0,David Sedaris,Hardcover,480,Little Brown and Company,Let's Explore Diabetes with Owls,https://book.douban.com/subject/21360703/,"With sardonic wit and incisive social critiques, David Sedaris has become one of America 's pre-eminent humor writers. The great skill with which he slices through cultural euphemisms and political correctness proves that Sedaris is a master of satire and one of the most observant writers addressing the human condition today.David Sedaris is the author of the bestsellers Barrel Fever and Holidays on Ice, as well as collections of personal essays, Naked, Me Talk Pretty One Day, and Dress Your Family in Corduroy and Denim, each of which became immediate bestsellers. There are a total of seven million copies of his books in print and they have been translated into 25 languages. He is the editor of an anthology of stories, , Children Playing Before a Statue of Hercules: An Anthology of Outstanding Stories. His essays appear regularly in Esquire and The New Yorker. Sedaris and his sister, Amy Sedaris, have collaborated under the name ""The Talent Family"" and have written several plays which have been produced at La Mama, Lincoln Center , and The Drama Department in New York City . These plays include Stump the Host, Stitches, One Woman Shoe, which received an Obie Award, Incident at Cobbler's Knob, and The Book of Liz, which was published in book form by Dramatist's Play Service. His recent collection of essays, titled When You Are Engulfed in Flames, was published in June 2008.David Sedaris's original radio pieces can often be heard on This American Life, distributed nationally by Public Radio International and produced by WBEZ. In 2001, David Sedaris became the third recipient of the Thurber Prize for American Humor. He was named by Time magazine as ""Humorist of the Year"" in 2001. David Sedaris was nominated for two Grammy Awards for Best Spoken Word Album (""Dress Your Family in Corduroy & Denim"") and Best Comedy Album (""David Sedaris: Live at Carnegie Hall""). In 2008 the audio version of When You Are Engulfed in Flames was nominated for a Grammy in the Best Spoken Word category","From here the story could take many turns. When this guy is David Sedaris, the possibilities are endless, but the result is always the same: he will both delight you with twists of humor and intelligence and leave you deeply moved.
Sedaris remembers his father's dinnertime attire (shirtsleeves and underpants), his first colonoscopy (remarkably pleasant), and the time he considered buying the skeleton of a murdered Pygmy.
With Let's Explore Diabetes with Owls, David Sedaris shows once again why his work has been called ""hilarious, elegant, and surprisingly moving""",GBP 20.79,9780316233910,0316233919
read,2014-12-13T02:46:37Z,282,8.8,Haruki Murakami,Paperback,298,Vintage,Norwegian Wood,https://book.douban.com/subject/1498975/,,"在线阅读本书

 Book Description 
First American Publication

This stunning and elegiac novel by the author of the internationally acclaimed Wind-Up Bird Chronicle has sold over 4 million copies in Japan and is now available to American audiences for the first time.  It is sure to be a literary event.

Toru, a quiet and preternaturally serious young college student in Tokyo, is devoted to Naoko, a beautiful and introspective young woman, but their mutual passion is marked by the tragic death of their best friend years before.  Toru begins to adapt to campus life and the loneliness and isolation he faces there, but Naoko finds the pressures and responsibilities of life unbearable.  As she retreats further into her own world, Toru finds himself reaching out to others and drawn to a fiercely independent and sexually liberated young woman.

A poignant story of one college student's romantic coming-of-age, Norwegian Wood takes us to that distant place of a young man's first, hopeless, and heroic love. 

 Amazon.co.uk 
""I once had a girl, or should I say, she once had me"" ""Norwegian Wood"" (Lennon/McCartney). 

With Norwegian Wood Murakami, best known as the author of off-kilter classics such as the Wind Up Bird Chronicle, A Wild Sheep Chase and Hard Boiled Wonderland, finally achieved widespread acclaim in his native Japan. The novel sold upwards of 4 million copies and forced the author to retreat to Europe, fearful of the expectations accompanying his new-found cult status.

The novel is atypical for Murakami: seemingly autobiographical, in the tradition of many Japanese ""I"" novels, Norwegian Wood is a simple coming of age tale set, primarily, in 1969/70, the time of Murakami's own university years. The political upheavals and student strikes of the period form the backdrop of the novel but the focus here is the young Watanabe's love affairs and the pain (and pleasure) of growing up with all its attendant losses, (self-)obsessions and crises. 

The novel is split into two volumes and beautifully presented here in a ""gold"" box containing both the green book and the red book. Young Japanese fans became so obsessed with the work that they would dress entirely in one or other colour denoting which volume they most identified with. And the novel is hugely affecting, reading like a cross between Plath's Bell Jar and Vizinczey's In Praise of Older Women, if less complex and ultimately less satisfying than Murakami's other, more allegorical, work. He captures the huge expectation of youth, and of this particular time in history, for the future and for the place of love in it. He also saturates the work with sadness, an emotion that can cripple a novel but which here underscores the poignancy of the work's rather thin subject matter. 
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　--Mark Thwaite 

 Amazon.com 
In 1987, when Norwegian Wood was first published in Japan, it promptly sold more than 4 million copies and transformed Haruki Murakami into a pop-culture icon. The horrified author fled his native land for Europe and the United States, returning only in 1995, by which time the celebrity spotlight had found some fresher targets. And now he's finally authorized a translation for the English-speaking audience, turning to the estimable Jay Rubin, who did a fine job with his big-canvas production The Wind-Up Bird Chronicle. Readers of Murakami's later work will discover an affecting if atypical novel, and while the author himself has denied the book's autobiographical import--""If I had simply written the literal truth of my own life, the novel would have been no more than fifteen pages long""--it's hard not to read as at least a partial portrait of the artist as a young man. 

Norwegian Wood is a simple coming-of-age tale, primarily set in 1969-70, when the author was attending university. The political upheavals and student strikes of the period form the novel's backdrop. But the focus here is the young Watanabe's love affairs, and the pain and pleasure and attendant losses of growing up. The collapse of a romance (and this is one among many!) leaves him in a metaphysical shambles: 

I read Naoko's letter again and again, and each time I read it I would be filled with the same unbearable sadness I used to feel whenever Naoko stared into my eyes. I had no way to deal with it, no place I could take it to or hide it away. Like the wind passing over my body, it had neither shape nor weight, nor could I wrap myself in it. 

This account of a young man's sentimental education sometimes reads like a cross between Sylvia Plath's The Bell Jar and Stephen Vizinczey's In Praise of Older Women. It is less complex and perhaps ultimately less satisfying than Murakami's other, more allegorical work. Still, Norwegian Wood captures the huge expectation of youth--and of this particular time in history--for the future and for the place of love in it. It is also a work saturated with sadness, an emotion that can sometimes cripple a novel but which here merely underscores its youthful poignancy. 
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　--Mark Thwaite 

 From   Publishers Weekly   
In a complete stylistic departure from his mysterious and surreal novels (The Wind-Up Bird Chronicle; A Wild Sheep Chase) that show the influences of Salinger, Fitzgerald and Tom Robbins, Murakami tells a bittersweet coming-of-age story, reminiscent of J.R. Salamanca's classic 1964 novel, LilithAthe tale of a young man's involvement with a schizophrenic girl. A successful, 37-year-old businessman, Toru Watanabe, hears a version of the Beatles' Norwegian Wood, and the music transports him back 18 years to his college days. His best friend, Kizuki, inexplicably commits suicide, after which Toru becomes first enamored, then involved with Kizuki's girlfriend, Naoko. But Naoko is a very troubled young woman; her brilliant older sister has also committed suicide, and though sweet and desperate for happiness, she often becomes untethered. She eventually enters a convalescent home for disturbed people, and when Toru visits her, he meets her roommate, an older musician named Reiko, who's had a long history of mental instability. The three become fast friends. Toru makes a commitment to Naoko, but back at college he encounters Midori, a vibrant, outgoing young woman. As he falls in love with her, Toru realizes he cannot continue his relationship with Naoko, whose sanity is fast deteriorating. Though the solution to his problem comes too easily, Murakami tells a subtle, charming, profound and very sexy story of young love bound for tragedy. Published in Japan in 1987, this novel proved a wild success there, selling four million copies. (Sept.) 

 Book Dimension   
length: (cm)20.6    　　　            　　　　　            　　　　　 width:(cm)13.9",USD 15.00,9780375704024,0375704027
read,2014-12-07T09:32:47Z,207,7.7,Nate Silver,Hardcover,544,"Penguin Press HC, The",The Signal and the Noise,https://book.douban.com/subject/11580128/,"Nate Silver is a statistician, writer, and founder of The New York Times political blog FiveThirtyEight.com. Silver also developed PECOTA, a system for forecasting baseball performance that was bought by Baseball Prospectus. He was named one of the world’s 100 Most Influential People by Time magazine. He lives in Brooklyn, New York.","""Nate Silver's The Signal and the Noise is The Soul of a New Machine for the 21st century.""
—Rachel Maddow, author of Drift
Nate Silver built an innovative system for predicting baseball performance, predicted the 2008 election within a hair’s breadth, and became a national sensation as a blogger—all by the time he was thirty. The New York Times now publishes FiveThirtyEight.com, where Silver is one of the nation’s most influential political forecasters.
Drawing on his own groundbreaking work, Silver examines the world of prediction, investigating how we can distinguish a true signal from a universe of noisy data. Most predictions fail, often at great cost to society, because most of us have a poor understanding of probability and uncertainty. Both experts and laypeople mistake more confident predictions for more accurate ones. But overconfidence is often the reason for failure. If our appreciation of uncertainty improves, our predictions can get better too. This is the “prediction paradox”: The more humility we have about our ability to make predictions, the more successful we can be in planning for the future.
In keeping with his own aim to seek truth from data, Silver visits the most successful forecasters in a range of areas, from hurricanes to baseball, from the poker table to the stock market, from Capitol Hill to the NBA. He explains and evaluates how these forecasters think and what bonds they share. What lies behind their success? Are they good—or just lucky? What patterns have they unraveled? And are their forecasts really right? He explores unanticipated commonalities and exposes unexpected juxtapositions. And sometimes, it is not so much how good a prediction is in an absolute sense that matters but how good it is relative to the competition. In other cases, prediction is still a very rudimentary—and dangerous—science.
Silver observes that the most accurate forecasters tend to have a superior command of probability, and they tend to be both humble and hardworking. They distinguish the predictable from the unpredictable, and they notice a thousand little details that lead them closer to the truth. Because of their appreciation of probability, they can distinguish the signal from the noise.
With everything from the health of the global economy to our ability to fight terrorism dependent on the quality of our predictions, Nate Silver’s insights are an essential read.",USD 27.95,9781594204111,159420411X
